ID condition sub type order session sound_dist concept_dist answer RT score
AK467M5VTG7N4 sound 0 pre 1 0 NA NA 1 9967 0.75
AK467M5VTG7N4 sound 0 pre 2 0 NA NA 1 3857 0.75
AK467M5VTG7N4 sound 0 real 2 1 1 2 0 2932 0.75
AK467M5VTG7N4 sound 0 real 4 1 2 4 0 3066 0.75
AK467M5VTG7N4 sound 0 real 1 1 4 1 1 2923 0.75
AK467M5VTG7N4 sound 0 real 3 1 3 3 1 2682 0.75
AK467M5VTG7N4 sound 0 real 1 2 1 1 0 2862 0.75
AK467M5VTG7N4 sound 0 real 4 2 2 4 0 2893 0.75
AK467M5VTG7N4 sound 0 real 3 2 4 3 1 2833 0.75
AK467M5VTG7N4 sound 0 real 2 2 3 2 1 3230 0.75
A312SMN11YLE66 sound 0 pre 1 0 NA NA 1 3734 0.5
A312SMN11YLE66 sound 0 pre 3 0 NA NA 0 103 0.5
A312SMN11YLE66 sound 0 pre 4 0 NA NA 1 66 0.5
A312SMN11YLE66 sound 0 pre 2 0 NA NA 0 340 0.5
A312SMN11YLE66 sound 0 real 3 1 2 3 0 501 0.5
A312SMN11YLE66 sound 0 real 4 1 4 4 0 133 0.5
A312SMN11YLE66 sound 0 real 1 1 3 1 0 170 0.5
A312SMN11YLE66 sound 0 real 2 1 1 2 0 154 0.5
A312SMN11YLE66 sound 0 real 3 2 3 3 0 508 0.5
A312SMN11YLE66 sound 0 real 1 2 4 1 1 89 0.5
A312SMN11YLE66 sound 0 real 4 2 2 4 1 154 0.5
A312SMN11YLE66 sound 0 real 2 2 1 2 1 178 0.5
A2XIYK3272U6BV sound 0 pre 2 0 NA NA 1 7873 1.0
A2XIYK3272U6BV sound 0 pre 3 0 NA NA 0 2206 1.0
A2XIYK3272U6BV sound 0 pre 1 0 NA NA 1 13250 1.0
A2XIYK3272U6BV sound 0 pre 4 0 NA NA 0 1948 1.0
A2XIYK3272U6BV sound 0 real 3 1 1 3 0 2648 1.0
A2XIYK3272U6BV sound 0 real 1 1 3 1 1 2374 1.0
A2XIYK3272U6BV sound 0 real 4 1 2 4 0 2334 1.0
