ID condition type session sound_dist concept_dist answer RT
ASY0YM8TRRJ1J sound pre 0 NA NA 1 4166
ASY0YM8TRRJ1J sound pre 0 NA NA 1 3457
ASY0YM8TRRJ1J sound pre 0 NA NA 0 3156
ASY0YM8TRRJ1J sound pre 0 NA NA 0 4482
ASY0YM8TRRJ1J sound real 1 3 1 0 4927
ASY0YM8TRRJ1J sound real 1 1 4 0 3652
ASY0YM8TRRJ1J sound real 1 2 2 1 2193
ASY0YM8TRRJ1J sound real 1 4 3 1 2310
ASY0YM8TRRJ1J sound real 2 4 2 0 2751
ASY0YM8TRRJ1J sound real 2 2 3 1 2418
ASY0YM8TRRJ1J sound real 2 1 4 0 3523
ASY0YM8TRRJ1J sound real 2 3 1 1 2545
A3VHDQR8A9JJ4F sound pre 0 NA NA 0 3060
A3VHDQR8A9JJ4F sound pre 0 NA NA 0 1949
A3VHDQR8A9JJ4F sound pre 0 NA NA 1 1935
A3VHDQR8A9JJ4F sound pre 0 NA NA 1 1855
A3VHDQR8A9JJ4F sound real 1 3 4 0 2611
A3VHDQR8A9JJ4F sound real 1 1 2 0 2091
A3VHDQR8A9JJ4F sound real 1 2 1 0 2150
A3VHDQR8A9JJ4F sound real 1 4 3 1 2350
A3VHDQR8A9JJ4F sound real 2 2 1 0 2342
A3VHDQR8A9JJ4F sound real 2 3 3 0 2196
A3VHDQR8A9JJ4F sound real 2 4 2 1 2346
A3VHDQR8A9JJ4F sound real 2 1 4 0 2107
A2WAQLPXT615HQ joint pre 0 NA NA 1 14734
A2WAQLPXT615HQ joint pre 0 NA NA 0 4030
A2WAQLPXT615HQ joint pre 0 NA NA 1 2487
A2WAQLPXT615HQ joint pre 0 NA NA 0 5619
A2WAQLPXT615HQ joint real 1 4 1 1 3777
A2WAQLPXT615HQ joint real 1 3 4 1 3075
A2WAQLPXT615HQ joint real 1 1 2 0 2644
A2WAQLPXT615HQ joint real 1 2 3 0 2693
A2WAQLPXT615HQ joint real 2 2 2 1 3129
A2WAQLPXT615HQ joint real 2 1 1 0 2496
A2WAQLPXT615HQ joint real 2 3 4 1 2325
A2WAQLPXT615HQ joint real 2 4 3 1 2219
A2RJ4DUP52FKVG concept pre 0 NA NA 0 4281
A2RJ4DUP52FKVG concept pre 0 NA NA 1 2258
A2RJ4DUP52FKVG concept pre 0 NA NA 1 1491
A2RJ4DUP52FKVG concept pre 0 NA NA 1 3697
A2RJ4DUP52FKVG concept real 1 4 2 0 3717
A2RJ4DUP52FKVG concept real 1 1 1 0 2920
A2RJ4DUP52FKVG concept real 1 3 4 1 1276
A2RJ4DUP52FKVG concept real 1 2 3 1 1753
A2RJ4DUP52FKVG concept real 2 4 3 1 2411
A2RJ4DUP52FKVG concept real 2 2 4 1 1410
A2RJ4DUP52FKVG concept real 2 1 1 0 1640
A2RJ4DUP52FKVG concept real 2 3 2 0 2898
A1HFBH5DXW9WRW joint pre 0 NA NA 1 5260
A1HFBH5DXW9WRW joint pre 0 NA NA 0 5500
A1HFBH5DXW9WRW joint pre 0 NA NA 0 4113
A1HFBH5DXW9WRW joint pre 0 NA NA 1 3030
A1HFBH5DXW9WRW joint real 1 1 3 0 3579
A1HFBH5DXW9WRW joint real 1 2 2 0 3338
A1HFBH5DXW9WRW joint real 1 4 4 1 3301
A1HFBH5DXW9WRW joint real 1 3 1 1 4285
A1HFBH5DXW9WRW joint real 2 3 2 0 3998
A1HFBH5DXW9WRW joint real 2 1 4 0 3734
A1HFBH5DXW9WRW joint real 2 2 3 1 4350
A1HFBH5DXW9WRW joint real 2 4 1 1 3375
AJFVK3O1D7SPE sound pre 0 NA NA 0 3517
AJFVK3O1D7SPE sound pre 0 NA NA 1 2149
AJFVK3O1D7SPE sound pre 0 NA NA 0 2072
AJFVK3O1D7SPE sound pre 0 NA NA 1 1882
AJFVK3O1D7SPE sound real 1 1 3 0 2859
AJFVK3O1D7SPE sound real 1 4 4 1 2712
